nIdMap	pX	pY	pX1	pY1	sNameMap
1021	1611	3181	200	203	Tu Luy÷n 120 TD1-Bai1
1021	1611	3181	200	203	Tu Luy÷n 120 TD1-Bai1
1021	1586	3196	203	202	Tu Luy÷n 120 TD2-Bai1
1021	1586	3196	203	202	Tu Luy÷n 120 TD2-Bai1
1021	1590	3243	202	200	Tu Luy÷n 120 TD3-Bai1
1021	1590	3243	202	200	Tu Luy÷n 120 TD3-Bai1
1021	1620	3252	198	199	Tu Luy÷n 120 TD4-Bai1
1021	1620	3252	198	199	Tu Luy÷n 120 TD4-Bai1
1021	1632	3214	197	201	Tu Luy÷n 120 TD5-Bai1
1021	1632	3214	197	201	Tu Luy÷n 120 TD5-Bai1
1021	1610	3214	200	201	Tu Luy÷n 120 TD6-Bai1
1021	1610	3214	200	201	Tu Luy÷n 120 TD6-Bai1
